name,Type,Grades,District,Enrollment,Stud_Teach_Ratio,Free_Dis_Lunch,EOC Biology,EOC English,EOC Math,EOC Math 3, EOC Math 4,EOC Math 5,EOC Math 6,EOC Math 7,EOC Math 8,EOC Reading 3,EOC Reading 4,EOC Reading 5,EOC Reading 6,EOC Reading 7,EOC Reading 8,EOG_Sci_5,EOG_Sci_8,Address,City,Zip,County,District,Charter,Magnet,Virtual,Title_1,white_count,white_percent,black_count,black_percent,hispanic_count,hispanic_percent,asian_count,asian_percent,amer_ind_count,amer_ind_perc,pac_island_count,pac_island_perc,two_or_more_count,two_or_more_perc,Avg_Score_2018,State_Ranking_2018,State_Percentile_2018,Avg_Score_2017,State_Ranking_2017,State_Percentile_2017,Rank_Change
North Buncombe Elementary,Public,K-4,Buncombe County Schools,630,15.9,0.55,,,,69.3,72.9,,,,,61.4,66.4,,,,,,,251 Flat Creek Church Rd,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,Yes,490,0.78,5,0.01,106,0.17,4,0.01,1,0,0,0,24,0.04,71.4,376th of 1434 public elementary schools,0.74,47.5,795th of 1429 public elementary schools,0.44,419
North Buncombe High,Public,high,Buncombe County Schools,1125,17.2,0.37,73.8,64.1,67.5,,,,,,,,,,,,,,,890 Clarks Chapel Road,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,No,933,0.83,8,0.01,142,0.13,6,0.01,5,0,0,0,31,0.03,71.3,90th of 469 public high schools,0.81,69.3,83rd of 476 public high schools,0.83,-7
North Buncombe Middle,Public,middle,Buncombe County Schools,573,14.4,0.46,,,,,,,,63.7,58.3,,,,,65.5,58,,77.2,51 N Buncombe School Road,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,No,475,0.83,1,0,69,0.12,4,0.01,1,0,1,0,22,0.04,69.3,201st of 691 public middle schools,0.71,67.9,216th of 694 public middle schools,0.69,15
North Windy Ridge Intermediate,Public,5th-6th,Buncombe County Schools,591,16.2,0.51,,,,,,66.3,70.8,,,,,59.1,72.8,,,72.3,,20 Doan Road,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,Yes,488,0.83,11,0.02,71,0.12,2,0,2,0,0,0,17,0.03,,,,,,,(n/a)
Oakley Elementary,Public,elementary,Buncombe County Schools,463,15.6,0.78,,,,47.4,37.2,48,,,,42.1,44.2,44,,,,57.3,,753 Fairview Road,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,Yes,212,0.46,132,0.29,101,0.22,1,0,2,0,0,0,15,0.03,22.5,1182nd of 1434 public elementary schools,0.18,21.7,1192nd of 1429 public elementary schools,0.17,10
Owen High,Public,high,Buncombe County Schools,784,15,0.47,83.2,65,69,,,,,,,,,,,,,,,99 Lake Eden Road,Black Mountain,28711,Buncombe,Buncombe County Schools,No,No,No,No,612,0.78,26,0.03,93,0.12,5,0.01,4,0.01,0,0,44,0.06,73.4,84th of 469 public high schools,0.82,56.4,154th of 476 public high schools,0.68,70
Owen Middle,Public,middle,Buncombe County Schools,529,12.9,0.59,,,,,,,53.9,59,47.3,,,,69.7,61.5,57.6,,77.7,730 Old US 70,Swannanoa,28778,Buncombe,Buncombe County Schools,No,No,No,No,419,0.79,23,0.04,62,0.12,2,0,4,0.01,0,0,19,0.04,62.2,263rd of 691 public middle schools,0.62,63.2,246th of 694 public middle schools,0.65,-17
Pisgah Elementary,Public,K-4,Buncombe County Schools,175,13.3,0.68,,,,93.5,75,,,,,83.9,75,,,,,,,1495 Pisgah Hwy,Candler,28715,Buncombe,Buncombe County Schools,No,No,No,Yes,158,0.9,3,0.02,10,0.06,0,0,0,0,0,0,4,0.02,90.3,91st of 1434 public elementary schools,0.94,67.4,451st of 1429 public elementary schools,0.68,360
Reynolds High,Public,high,Buncombe County Schools,1300,17.2,0.37,60.4,67.7,67.7,,,,,,,,,,,,,,,1 Rocket Drive,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,No,945,0.73,125,0.1,114,0.09,26,0.02,3,0,0,0,87,0.07,66.1,118th of 469 public high schools,0.75,52.7,170th of 476 public high schools,0.64,52
Reynolds Middle,Public,middle,Buncombe County Schools,506,13,0.6,,,,,,,50.3,47,46.6,,,,69.4,61.4,51.1,,80.8,2 Rocket Drive,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,No,312,0.62,94,0.19,62,0.12,6,0.01,0,0,1,0,31,0.06,56.2,320th of 691 public middle schools,0.54,59.3,285th of 694 public middle schools,0.59,-35
Roberson High,Public,high,Buncombe County Schools,1619,16.1,0.35,61.6,62.6,59.2,,,,,,,,,,,,,,,250 Overlook Road,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,No,"1,057",0.65,199,0.12,248,0.15,40,0.03,2,0,0,0,73,0.05,58.6,155th of 469 public high schools,0.67,58.7,138th of 476 public high schools,0.71,-17
Sand Hill-Venable Elementary,Public,K-4,Buncombe County Schools,629,14.9,0.74,,,,72.6,51.2,,,,,56.6,60.3,,,,,,,154 Sand Hill School Road,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,Yes,417,0.66,47,0.08,151,0.24,0,0,0,0,3,0.01,11,0.02,54.9,666th of 1434 public elementary schools,0.54,49.2,756th of 1429 public elementary schools,0.47,90
School of Inquiry and Life Sciences,Public,high,Asheville City Schools,351,24.4,0.22,83.8,80.2,72.9,,,,,,,,,,,,,,,419 McDowell Street,Asheville,28803,Buncombe,Asheville City Schools,No,No,No,No,233,0.66,63,0.18,31,0.09,7,0.02,0,0,0,0,17,0.05,86.2,33rd of 469 public high schools,0.93,81.6,40th of 476 public high schools,0.92,7
The Franklin School of Innovation,"Public, Charter, Alternative",5th-12th,The Franklin School of Innovation,409,13.2,0.27,64.3,84.1,56.5,,,58.3,83.6,59.7,52.9,,,63.9,90.9,76.1,69.4,,,21 Innovation Dr,Asheville,28806,Buncombe,The Franklin School of Innovation,Yes,No,No,Yes,343,0.84,5,0.01,25,0.06,8,0.02,1,0,0,0,27,0.07,,,,,,,(n/a)
Valley Springs Middle,Public,middle,Buncombe County Schools,624,13.8,0.47,,,,,,,30,60.5,65,,,,10,62.4,65.3,,79.5,224 Long Shoals Road,Arden,28704,Buncombe,Buncombe County Schools,No,No,No,No,344,0.55,71,0.11,144,0.23,25,0.04,1,0,0,0,39,0.06,71.9,171st of 691 public middle schools,0.75,80.6,111th of 694 public middle schools,0.84,-60
Vance Elementary,"Public, Magnet",elementary,Asheville City Schools,470,15.5,0.49,,,,68.1,67.1,64.9,,,,70.8,68.3,67.6,,,,,,98 Sulphur Springs Road,Asheville,28806,Buncombe,Asheville City Schools,No,Yes,No,Yes,289,0.62,84,0.18,58,0.12,4,0.01,3,0.01,5,0.01,27,0.06,69.3,418th of 1434 public elementary schools,0.71,77.3,276th of 1429 public elementary schools,0.81,
Weaverville Elementary,Public,2nd-4th,Buncombe County Schools,358,15.7,0.42,,,,77.7,69.1,,,,,73.6,73.6,,,,,,,129 S Main Street,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,Yes,293,0.82,4,0.01,46,0.13,2,0.01,3,0.01,1,0,9,0.03,82.1,195th of 1434 public elementary schools,0.86,77.9,261st of 1429 public elementary schools,0.82,66
Weaverville Primary,Public,K-1,Buncombe County Schools,238,15.7,0.49,,,,,,,,,,,,,,,,,,39 S Main Street,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,Yes,200,0.84,2,0.01,26,0.11,4,0.02,2,0.01,0,0,4,0.02,,,,,,,(n/a)
West Buncombe Elementary,Public,K-4,Buncombe County Schools,561,13.8,0.67,,,,77.1,78.4,,,,,68.8,64.8,,,,,,,175 Erwin Hills Road,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,Yes,411,0.73,19,0.03,100,0.18,3,0.01,4,0.01,3,0.01,21,0.04,79.1,237th of 1434 public elementary schools,0.84,75.8,310th of 1429 public elementary schools,0.78,73
Williams Elementary,Public,elementary,Buncombe County Schools,457,15.7,0.7,,,,52.8,57.7,56.8,,,,54.2,64.8,48.1,,,,65.4,,161 Bee Tree Road,Swannanoa,28778,Buncombe,Buncombe County Schools,No,No,No,Yes,297,0.65,23,0.05,112,0.25,2,0,8,0.02,0,0,15,0.03,46.3,818th of 1434 public elementary schools,0.43,53.5,691st of 1429 public elementary schools,0.52,-127
Woodfin Elementary,Public,elementary,Buncombe County Schools,134,9.2,0.98,,,,62.5,40.6,,,,,58.3,37.5,,,,,,,108 Elk Mountain Road,Asheville,28804,Buncombe,Buncombe County Schools,No,No,No,Yes,80,0.6,10,0.08,36,0.27,0,0,1,0.01,2,0.02,5,0.04,31.4,1059th of 1434 public elementary schools,0.26,27.9,1110th of 1429 public elementary schools,0.22,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data retrieved from school digger on 7/13/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.schooldigger.com/go/NC/district/00450/search.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
